llm,repeat,step,material_system,composition,composition_short,anneal_T_C,predicted_overpotential_V,actual_overpotential_V,predicted_molar_change,actual_molar_change,hypervolume,n_remaining
gpt5.4,7,50,Co-Mn-Sn-O,"{""Co"": 0.710267156910369, ""Mn"": 0.2897328430896311, ""Sn"": 0.0}",Co:0.7103 Mn:0.2897 Sn:0.0000,450,0.765,0.716335,0.03,0.069022,2.767334,2238
claude_opus4.6,4,1,Co-Nb-Sn-O,"{'Co': 0.98893, 'Nb': 0.00621, 'Sn': 0.00486}",Co:0.9889 Nb:0.0062 Sn:0.0049,550,0.58,0.673804,0.85,0.054896,2.041711,2287
claude_opus4.6,1,2,Co-In-Si-O,"{""Co"": 0.8777746163117125, ""In"": 0.12222538368828748}",Co:0.8778 In:0.1222,550,0.65,0.983018,0.08,0.073884,2.041711,2286
claude_opus4.6,5,1,Co-Nb-Sn-O,"{'Co': 0.98893, 'Nb': 0.00621, 'Sn': 0.00486}",Co:0.9889 Nb:0.0062 Sn:0.0049,550,0.58,0.673804,0.45,0.054896,2.041711,2287
claude_opus4.6,6,1,Co-Nb-Sn-O,"{'Co': 0.98893, 'Nb': 0.00621, 'Sn': 0.00486}",Co:0.9889 Nb:0.0062 Sn:0.0049,550,0.5,0.673804,0.45,0.054896,2.041711,2287
claude_opus4.6,7,1,Co-Nb-Sn-O,"{'Co': 0.98893, 'Nb': 0.00621, 'Sn': 0.00486}",Co:0.9889 Nb:0.0062 Sn:0.0049,550,0.58,0.673804,0.45,0.054896,2.041711,2287
gpt5.4,8,49,Co-Hf-Zr-O,"{""Co"": 0.7843147611321953, ""Hf"": 0.18877202584621292, ""Zr"": 0.026913213021591702}",Co:0.7843 Hf:0.1888 Zr:0.0269,400,0.652,0.666494,0.082,0.139648,2.331532,2239
claude_opus4.6,8,1,Co-Nb-Sn-O,"{'Co': 0.926543136933906, 'Nb': 0.05341760069151585, 'Sn': 0.02003926237457808}",Co:0.9265 Nb:0.0534 Sn:0.0200,550,0.58,0.668037,0.45,0.021103,2.080127,2287
gpt5.4,8,50,Co-Hf-Zr-O,"{""Co"": 0.7398875460743165, ""Hf"": 0.09778125156169153, ""Zr"": 0.16233120236399187}",Co:0.7399 Hf:0.0978 Zr:0.1623,550,0.649,0.683185,0.108,0.064834,2.331556,2238
claude_opus4.6,2,2,Co-Mn-Ti-O,"{'Co': 0.83997, 'Mn': 0.08343, 'Ti': 0.0766}",Co:0.8400 Mn:0.0834 Ti:0.0766,550,0.62,0.760292,0.04,-0.009114,2.041711,2286
claude_opus4.6,3,2,Co-In-Si-O,"{""Co"": 0.8777746163117125, ""In"": 0.12222538368828748}",Co:0.8778 In:0.1222,550,0.62,0.983018,0.03,0.073884,2.080127,2286
claude_opus4.6,9,1,Co-Nb-Sn-O,"{'Co': 0.98893, 'Nb': 0.00621, 'Sn': 0.00486}",Co:0.9889 Nb:0.0062 Sn:0.0049,550,0.58,0.673804,0.85,0.054896,2.041711,2287
claude_opus4.6,1,3,Co-Nb-Sn-O,"{'Co': 0.98034, 'Nb': 0.01413, 'Sn': 0.00553}",Co:0.9803 Nb:0.0141 Sn:0.0055,550,0.67,0.665961,0.05,0.046361,2.090888,2285
claude_opus4.6,7,2,Co-Mn-Ti-O,"{'Co': 0.83997, 'Mn': 0.08343, 'Ti': 0.0766}",Co:0.8400 Mn:0.0834 Ti:0.0766,550,0.64,0.760292,0.03,-0.009114,2.041711,2286
claude_opus4.6,4,2,Co-Hf-Zr-O,"{""Co"": 0.9544679253365075, ""Hf"": 0.03729647256231155, ""Zr"": 0.008235602101180992}",Co:0.9545 Hf:0.0373 Zr:0.0082,550,0.65,0.630033,0.04,0.073985,2.311293,2286
claude_opus4.6,5,2,Co-Mn-Ti-O,"{'Co': 0.83997, 'Mn': 0.08343, 'Ti': 0.0766}",Co:0.8400 Mn:0.0834 Ti:0.0766,550,0.58,0.760292,0.04,-0.009114,2.041711,2286
claude_opus4.6,6,2,Co-In-Si-O,"{""Co"": 0.8777746163117125, ""In"": 0.12222538368828748}",Co:0.8778 In:0.1222,550,0.62,0.983018,0.08,0.073884,2.041711,2286
claude_opus4.6,10,1,Co-Nb-Sn-O,"{'Co': 0.98893, 'Nb': 0.00621, 'Sn': 0.00486}",Co:0.9889 Nb:0.0062 Sn:0.0049,550,0.42,0.673804,0.85,0.054896,2.041711,2287
claude_opus4.6,2,3,Co-Hf-Zr-O,"{""Co"": 0.9544679253365075, ""Hf"": 0.03729647256231155, ""Zr"": 0.008235602101180992}",Co:0.9545 Hf:0.0373 Zr:0.0082,550,0.66,0.630033,0.01,0.073985,2.311293,2285
claude_opus4.6,3,3,Co-Nb-Sn-O,"{'Co': 0.93008, 'Nb': 0.04758, 'Sn': 0.02234}",Co:0.9301 Nb:0.0476 Sn:0.0223,550,0.66,0.696502,0.018,0.004356,2.081031,2285
claude_opus4.6,9,2,Co-Mn-Ti-O,"{'Co': 0.83997, 'Mn': 0.08343, 'Ti': 0.0766}",Co:0.8400 Mn:0.0834 Ti:0.0766,550,0.62,0.760292,0.08,-0.009114,2.041711,2286
claude_opus4.6,8,2,Co-Nb-Sn-O,"{'Co': 0.98893, 'Nb': 0.00621, 'Sn': 0.00486}",Co:0.9889 Nb:0.0062 Sn:0.0049,550,0.64,0.673804,0.03,0.054896,2.080127,2286
claude_opus4.6,7,3,Co-Hf-Zr-O,"{""Co"": 0.9544679253365075, ""Hf"": 0.03729647256231155, ""Zr"": 0.008235602101180992}",Co:0.9545 Hf:0.0373 Zr:0.0082,550,0.66,0.630033,0.01,0.073985,2.311293,2285
claude_opus4.6,1,4,Co-Nb-Sn-O,"{'Co': 0.96352, 'Nb': 0.02778, 'Sn': 0.0087}",Co:0.9635 Nb:0.0278 Sn:0.0087,550,0.668,0.66479,0.048,0.147314,2.098015,2284
claude_opus4.6,5,3,Co-Nb-Sn-O,"{'Co': 0.98034, 'Nb': 0.01413, 'Sn': 0.00553}",Co:0.9803 Nb:0.0141 Sn:0.0055,550,0.665,0.665961,0.04,0.046361,2.090888,2285
claude_opus4.6,4,3,Co-Mn-Zr-O,"{""Co"": 0.942445513983409, ""Mn"": 0.04736440779355744, ""Zr"": 0.010190078223033465}",Co:0.9424 Mn:0.0474 Zr:0.0102,550,0.62,0.770922,0.05,0.447128,2.311293,2285
claude_opus4.6,6,3,Co-Nb-Sn-O,"{'Co': 0.98034, 'Nb': 0.01413, 'Sn': 0.00553}",Co:0.9803 Nb:0.0141 Sn:0.0055,550,0.67,0.665961,0.05,0.046361,2.090888,2285
claude_opus4.6,10,2,Co-Nb-Sn-O,"{'Co': 0.98034, 'Nb': 0.01413, 'Sn': 0.00553}",Co:0.9803 Nb:0.0141 Sn:0.0055,550,0.66,0.665961,0.06,0.046361,2.090888,2286
claude_opus4.6,2,4,Co-Hf-Zr-O,"{""Co"": 0.8897377184468366, ""Hf"": 0.06914546553415242, ""Zr"": 0.041116816019010925}",Co:0.8897 Hf:0.0691 Zr:0.0411,550,0.64,0.641705,0.05,0.129043,2.311293,2284
claude_opus4.6,3,4,Co-Nb-Sn-O,"{'Co': 0.9408243545349935, 'Nb': 0.03969243468319845, 'Sn': 0.0194832107818081}",Co:0.9408 Nb:0.0397 Sn:0.0195,550,0.655,0.660954,0.012,0.025528,2.125,2284
claude_opus4.6,9,3,Co-Nb-Sn-O,"{'Co': 0.98034, 'Nb': 0.01413, 'Sn': 0.00553}",Co:0.9803 Nb:0.0141 Sn:0.0055,550,0.67,0.665961,0.05,0.046361,2.090888,2285
claude_opus4.6,8,3,Co-Hf-Zr-O,"{""Co"": 0.9544679253365075, ""Hf"": 0.03729647256231155, ""Zr"": 0.008235602101180992}",Co:0.9545 Hf:0.0373 Zr:0.0082,550,0.66,0.630033,0.015,0.073985,2.314189,2285
claude_opus4.6,5,4,Co-Mn-Ti-O,"{'Co': 0.83535, 'Mn': 0.06763, 'Ti': 0.09703}",Co:0.8354 Mn:0.0676 Ti:0.0970,550,0.745,0.732427,-0.008,0.076881,2.090888,2284
claude_opus4.6,7,4,Co-Hf-Zr-O,"{""Co"": 0.9602649453036065, ""Hf"": 0.02850586374353717, ""Zr"": 0.011229190952856257}",Co:0.9603 Hf:0.0285 Zr:0.0112,400,0.64,0.62687,0.05,0.13626,2.330575,2284
claude_opus4.6,6,4,Co-Nb-Sn-O,"{'Co': 0.96352, 'Nb': 0.02778, 'Sn': 0.0087}",Co:0.9635 Nb:0.0278 Sn:0.0087,550,0.668,0.66479,0.042,0.147314,2.098015,2284
claude_opus4.6,4,4,Co-Hf-Zr-O,"{""Co"": 0.8897377184468366, ""Hf"": 0.06914546553415242, ""Zr"": 0.041116816019010925}",Co:0.8897 Hf:0.0691 Zr:0.0411,550,0.64,0.641705,0.06,0.129043,2.311293,2284
claude_opus4.6,1,5,Co-Nb-Sn-O,"{'Co': 0.942413926402918, 'Nb': 0.03532870506527363, 'Sn': 0.02225736853180836}",Co:0.9424 Nb:0.0353 Sn:0.0223,700,0.675,0.6808,0.035,0.215634,2.098015,2283
claude_opus4.6,10,3,Co-Hf-Zr-O,"{""Co"": 0.9544679253365075, ""Hf"": 0.03729647256231155, ""Zr"": 0.008235602101180992}",Co:0.9545 Hf:0.0373 Zr:0.0082,550,0.655,0.630033,0.035,0.073985,2.312164,2285
claude_opus4.6,2,5,Co-Hf-Zr-O,"{""Co"": 0.9602649453036065, ""Hf"": 0.02850586374353717, ""Zr"": 0.011229190952856257}",Co:0.9603 Hf:0.0285 Zr:0.0112,400,0.625,0.62687,0.065,0.13626,2.330575,2283
claude_opus4.6,3,5,Co-Nb-Sn-O,"{'Co': 0.94704, 'Nb': 0.03337, 'Sn': 0.01959}",Co:0.9470 Nb:0.0334 Sn:0.0196,550,0.652,0.685348,0.018,0.001671,2.125361,2283
claude_opus4.6,9,4,Co-Hf-Zr-O,"{""Co"": 0.9544679253365075, ""Hf"": 0.03729647256231155, ""Zr"": 0.008235602101180992}",Co:0.9545 Hf:0.0373 Zr:0.0082,550,0.67,0.630033,0.03,0.073985,2.312164,2284
claude_opus4.6,8,4,Co-Hf-Zr-O,"{""Co"": 0.8897377184468366, ""Hf"": 0.06914546553415242, ""Zr"": 0.041116816019010925}",Co:0.8897 Hf:0.0691 Zr:0.0411,550,0.64,0.641705,0.05,0.129043,2.314189,2284
claude_opus4.6,5,5,Co-Nb-Sn-O,"{'Co': 0.96352, 'Nb': 0.02778, 'Sn': 0.0087}",Co:0.9635 Nb:0.0278 Sn:0.0087,550,0.662,0.66479,0.04,0.147314,2.098015,2283
claude_opus4.6,4,5,Co-Nb-Zr-O,"{""Co"": 0.9261011513357204, ""Nb"": 0.04401896558177074, ""Zr"": 0.029879883082508794}",Co:0.9261 Nb:0.0440 Zr:0.0299,550,0.635,0.645971,0.05,0.035776,2.313823,2283
claude_opus4.6,7,5,Co-Hf-Zr-O,"{""Co"": 0.8897377184468366, ""Hf"": 0.06914546553415242, ""Zr"": 0.041116816019010925}",Co:0.8897 Hf:0.0691 Zr:0.0411,550,0.635,0.641705,0.065,0.129043,2.330575,2283
claude_opus4.6,1,6,Co-Nb-Sn-O,"{'Co': 0.94772, 'Nb': 0.04372, 'Sn': 0.00855}",Co:0.9477 Nb:0.0437 Sn:0.0086,550,0.668,0.690891,0.04,0.021932,2.099471,2282
claude_opus4.6,10,4,Co-Mn-Zr-O,"{""Co"": 0.942445513983409, ""Mn"": 0.04736440779355744, ""Zr"": 0.010190078223033465}",Co:0.9424 Mn:0.0474 Zr:0.0102,550,0.635,0.770922,0.05,0.447128,2.312164,2284
claude_opus4.6,6,5,Co-Hf-Zr-O,"{""Co"": 0.9544679253365075, ""Hf"": 0.03729647256231155, ""Zr"": 0.008235602101180992}",Co:0.9545 Hf:0.0373 Zr:0.0082,550,0.665,0.630033,0.035,0.073985,2.312164,2283
claude_opus4.6,3,6,Co-Nb-Sn-O,"{'Co': 0.93201, 'Nb': 0.03814, 'Sn': 0.02985}",Co:0.9320 Nb:0.0381 Sn:0.0299,550,0.655,0.689592,0.015,-0.035631,2.127633,2282
claude_opus4.6,2,6,Co-Mn-Zr-O,"{""Co"": 0.942445513983409, ""Mn"": 0.04736440779355744, ""Zr"": 0.010190078223033465}",Co:0.9424 Mn:0.0474 Zr:0.0102,550,0.635,0.770922,0.02,0.447128,2.330575,2282
claude_opus4.6,9,5,Co-Mn-Zr-O,"{""Co"": 0.942445513983409, ""Mn"": 0.04736440779355744, ""Zr"": 0.010190078223033465}",Co:0.9424 Mn:0.0474 Zr:0.0102,550,0.62,0.770922,0.04,0.447128,2.312164,2283
claude_opus4.6,8,5,Co-Mn-Zr-O,"{""Co"": 0.942445513983409, ""Mn"": 0.04736440779355744, ""Zr"": 0.010190078223033465}",Co:0.9424 Mn:0.0474 Zr:0.0102,550,0.625,0.770922,0.04,0.447128,2.314189,2283
claude_opus4.6,5,6,Co-Hf-Zr-O,"{""Co"": 0.9544679253365075, ""Hf"": 0.03729647256231155, ""Zr"": 0.008235602101180992}",Co:0.9545 Hf:0.0373 Zr:0.0082,550,0.67,0.630033,0.02,0.073985,2.312164,2282
claude_opus4.6,7,6,Co-Hf-Zr-O,"{""Co"": 0.8630450427418843, ""Hf"": 0.11649746686640937, ""Zr"": 0.02045749039170634}",Co:0.8630 Hf:0.1165 Zr:0.0205,550,0.635,0.639732,0.06,0.125597,2.330575,2282
claude_opus4.6,1,7,Co-Nb-Sn-O,"{'Co': 0.9408243545349935, 'Nb': 0.03969243468319845, 'Sn': 0.0194832107818081}",Co:0.9408 Nb:0.0397 Sn:0.0195,550,0.675,0.660954,0.035,0.025528,2.123945,2281
claude_opus4.6,10,5,Co-Hf-Zr-O,"{""Co"": 0.8897377184468366, ""Hf"": 0.06914546553415242, ""Zr"": 0.041116816019010925}",Co:0.8897 Hf:0.0691 Zr:0.0411,550,0.64,0.641705,0.06,0.129043,2.312164,2283
claude_opus4.6,4,6,Co-Sb-Zr-O,"{""Co"": 0.9285245421799492, ""Sb"": 0.005562501918475885, ""Zr"": 0.06591295590157487}",Co:0.9285 Sb:0.0056 Zr:0.0659,550,0.625,0.649395,0.04,0.104446,2.313823,2282
claude_opus4.6,6,6,Co-Mn-Zr-O,"{""Co"": 0.942445513983409, ""Mn"": 0.04736440779355744, ""Zr"": 0.010190078223033465}",Co:0.9424 Mn:0.0474 Zr:0.0102,550,0.625,0.770922,0.05,0.447128,2.312164,2282
claude_opus4.6,3,7,Co-Nb-Sn-O,"{'Co': 0.942413926402918, 'Nb': 0.03532870506527363, 'Sn': 0.02225736853180836}",Co:0.9424 Nb:0.0353 Sn:0.0223,700,0.67,0.6808,0.01,0.215634,2.127633,2281
claude_opus4.6,2,7,Co-Hf-Zr-O,"{""Co"": 0.8939200041454616, ""Hf"": 0.086284815946529, ""Zr"": 0.019795179908009435}",Co:0.8939 Hf:0.0863 Zr:0.0198,400,0.62,0.639651,0.06,0.128307,2.330575,2281
claude_opus4.6,9,6,Co-Hf-Zr-O,"{""Co"": 0.8897377184468366, ""Hf"": 0.06914546553415242, ""Zr"": 0.041116816019010925}",Co:0.8897 Hf:0.0691 Zr:0.0411,550,0.635,0.641705,0.065,0.129043,2.312164,2282
claude_opus4.6,8,6,Co-Hf-Zr-O,"{""Co"": 0.9602649453036065, ""Hf"": 0.02850586374353717, ""Zr"": 0.011229190952856257}",Co:0.9603 Hf:0.0285 Zr:0.0112,400,0.635,0.62687,0.05,0.13626,2.333472,2282
claude_opus4.6,5,7,Co-Hf-Zr-O,"{""Co"": 0.9602649453036065, ""Hf"": 0.02850586374353717, ""Zr"": 0.011229190952856257}",Co:0.9603 Hf:0.0285 Zr:0.0112,400,0.64,0.62687,0.05,0.13626,2.331447,2281
claude_opus4.6,1,8,Co-Nb-Sn-O,"{'Co': 0.94704, 'Nb': 0.03337, 'Sn': 0.01959}",Co:0.9470 Nb:0.0334 Sn:0.0196,550,0.665,0.685348,0.023,0.001671,2.125285,2280
claude_opus4.6,10,6,Co-Hf-Zr-O,"{""Co"": 0.9602649453036065, ""Hf"": 0.02850586374353717, ""Zr"": 0.011229190952856257}",Co:0.9603 Hf:0.0285 Zr:0.0112,400,0.625,0.62687,0.055,0.13626,2.331447,2282
claude_opus4.6,6,7,Co-Hf-Zr-O,"{""Co"": 0.8897377184468366, ""Hf"": 0.06914546553415242, ""Zr"": 0.041116816019010925}",Co:0.8897 Hf:0.0691 Zr:0.0411,550,0.635,0.641705,0.055,0.129043,2.312164,2281
claude_opus4.6,2,8,Co-Hf-Zr-O,"{""Co"": 0.8630450427418843, ""Hf"": 0.11649746686640937, ""Zr"": 0.02045749039170634}",Co:0.8630 Hf:0.1165 Zr:0.0205,550,0.625,0.639732,0.065,0.125597,2.330575,2280
claude_opus4.6,7,7,Co-Hf-Zr-O,"{""Co"": 0.8373369739746543, ""Hf"": 0.12618943132263527, ""Zr"": 0.0364735947027104}",Co:0.8373 Hf:0.1262 Zr:0.0365,550,0.635,0.638224,0.085,0.127863,2.330575,2281
claude_opus4.6,9,7,Co-Hf-Zr-O,"{""Co"": 0.9602649453036065, ""Hf"": 0.02850586374353717, ""Zr"": 0.011229190952856257}",Co:0.9603 Hf:0.0285 Zr:0.0112,400,0.628,0.62687,0.08,0.13626,2.331447,2281
claude_opus4.6,4,7,Co-Nb-Zr-O,"{""Co"": 0.8593239793489539, ""Nb"": 0.04272475548422236, ""Zr"": 0.09795126516682379}",Co:0.8593 Nb:0.0427 Zr:0.0980,550,0.64,0.626091,0.03,0.062305,2.33833,2281
claude_opus4.6,3,8,Co-Nb-Sn-O,"{'Co': 0.98034, 'Nb': 0.01413, 'Sn': 0.00553}",Co:0.9803 Nb:0.0141 Sn:0.0055,550,0.675,0.665961,0.01,0.046361,2.127633,2280
claude_opus4.6,8,7,Co-Hf-Zr-O,"{""Co"": 0.8630450427418843, ""Hf"": 0.11649746686640937, ""Zr"": 0.02045749039170634}",Co:0.8630 Hf:0.1165 Zr:0.0205,550,0.635,0.639732,0.06,0.125597,2.333472,2281
claude_opus4.6,1,9,Co-Nb-Sn-O,"{'Co': 0.93201, 'Nb': 0.03814, 'Sn': 0.02985}",Co:0.9320 Nb:0.0381 Sn:0.0299,550,0.662,0.689592,0.015,-0.035631,2.127556,2279
claude_opus4.6,5,8,Co-Hf-Zr-O,"{""Co"": 0.8939200041454616, ""Hf"": 0.086284815946529, ""Zr"": 0.019795179908009435}",Co:0.8939 Hf:0.0863 Zr:0.0198,400,0.625,0.639651,0.08,0.128307,2.331447,2280
claude_opus4.6,9,8,Co-Hf-Zr-O,"{""Co"": 0.8939200041454616, ""Hf"": 0.086284815946529, ""Zr"": 0.019795179908009435}",Co:0.8939 Hf:0.0863 Zr:0.0198,400,0.635,0.639651,0.11,0.128307,2.331447,2280
claude_opus4.6,6,8,Co-Hf-Zr-O,"{""Co"": 0.8630450427418843, ""Hf"": 0.11649746686640937, ""Zr"": 0.02045749039170634}",Co:0.8630 Hf:0.1165 Zr:0.0205,550,0.64,0.639732,0.045,0.125597,2.312164,2280
claude_opus4.6,4,8,Co-Nb-Zr-O,"{""Co"": 0.8381564933715236, ""Nb"": 0.081203527384317, ""Zr"": 0.08063997924415944}",Co:0.8382 Nb:0.0812 Zr:0.0806,550,0.635,0.652228,0.04,0.061435,2.33833,2280
claude_opus4.6,10,7,Co-Hf-Zr-O,"{""Co"": 0.8630450427418843, ""Hf"": 0.11649746686640937, ""Zr"": 0.02045749039170634}",Co:0.8630 Hf:0.1165 Zr:0.0205,550,0.635,0.639732,0.065,0.125597,2.331447,2281
claude_opus4.6,3,9,Co-Nb-Sn-O,"{'Co': 0.94055, 'Nb': 0.04972, 'Sn': 0.00973}",Co:0.9405 Nb:0.0497 Sn:0.0097,550,0.685,0.687605,0.003,0.027973,2.127633,2279
claude_opus4.6,7,8,Co-Mn-Zr-O,"{""Co"": 0.942445513983409, ""Mn"": 0.04736440779355744, ""Zr"": 0.010190078223033465}",Co:0.9424 Mn:0.0474 Zr:0.0102,550,0.625,0.770922,0.02,0.447128,2.330575,2280
claude_opus4.6,2,9,Co-Hf-Zr-O,"{""Co"": 0.8373369739746543, ""Hf"": 0.12618943132263527, ""Zr"": 0.0364735947027104}",Co:0.8373 Hf:0.1262 Zr:0.0365,550,0.635,0.638224,0.11,0.127863,2.330575,2279
claude_opus4.6,8,8,Co-Hf-Zr-O,"{""Co"": 0.8373369739746543, ""Hf"": 0.12618943132263527, ""Zr"": 0.0364735947027104}",Co:0.8373 Hf:0.1262 Zr:0.0365,550,0.632,0.638224,0.08,0.127863,2.333472,2280
claude_opus4.6,5,9,Co-Hf-Zr-O,"{""Co"": 0.8897377184468366, ""Hf"": 0.06914546553415242, ""Zr"": 0.041116816019010925}",Co:0.8897 Hf:0.0691 Zr:0.0411,550,0.632,0.641705,0.065,0.129043,2.331447,2279
claude_opus4.6,1,10,Co-Nb-Sn-O,"{'Co': 0.93008, 'Nb': 0.04758, 'Sn': 0.02234}",Co:0.9301 Nb:0.0476 Sn:0.0223,550,0.67,0.696502,-0.01,0.004356,2.127556,2278
claude_opus4.6,9,9,Co-Hf-Zr-O,"{""Co"": 0.8630450427418843, ""Hf"": 0.11649746686640937, ""Zr"": 0.02045749039170634}",Co:0.8630 Hf:0.1165 Zr:0.0205,550,0.635,0.639732,0.065,0.125597,2.331447,2279
claude_opus4.6,6,9,Co-Hf-Zr-O,"{""Co"": 0.9602649453036065, ""Hf"": 0.02850586374353717, ""Zr"": 0.011229190952856257}",Co:0.9603 Hf:0.0285 Zr:0.0112,400,0.635,0.62687,0.055,0.13626,2.331447,2279
claude_opus4.6,4,9,Co-Hf-Zr-O,"{""Co"": 0.8630450427418843, ""Hf"": 0.11649746686640937, ""Zr"": 0.02045749039170634}",Co:0.8630 Hf:0.1165 Zr:0.0205,550,0.628,0.639732,0.055,0.125597,2.33833,2279
claude_opus4.6,7,9,Co-Hf-Zr-O,"{""Co"": 0.8939200041454616, ""Hf"": 0.086284815946529, ""Zr"": 0.019795179908009435}",Co:0.8939 Hf:0.0863 Zr:0.0198,400,0.62,0.639651,0.12,0.128307,2.330575,2279
claude_opus4.6,3,10,Co-Nb-Sn-O,"{'Co': 0.94772, 'Nb': 0.04372, 'Sn': 0.00855}",Co:0.9477 Nb:0.0437 Sn:0.0086,550,0.682,0.690891,0.001,0.021932,2.127633,2278
claude_opus4.6,2,10,Co-Hf-Zr-O,"{""Co"": 0.8918916743692853, ""Hf"": 0.08275786123391382, ""Zr"": 0.02535046439680101}",Co:0.8919 Hf:0.0828 Zr:0.0254,400,0.632,0.631938,0.115,0.095946,2.330575,2278
claude_opus4.6,10,8,Co-Hf-Zr-O,"{""Co"": 0.8939200041454616, ""Hf"": 0.086284815946529, ""Zr"": 0.019795179908009435}",Co:0.8939 Hf:0.0863 Zr:0.0198,400,0.628,0.639651,0.11,0.128307,2.331447,2280
claude_opus4.6,8,9,Co-Hf-Zr-O,"{""Co"": 0.8939200041454616, ""Hf"": 0.086284815946529, ""Zr"": 0.019795179908009435}",Co:0.8939 Hf:0.0863 Zr:0.0198,400,0.625,0.639651,0.12,0.128307,2.333472,2279
claude_opus4.6,1,11,Co-Nb-Sn-O,"{'Co': 0.94055, 'Nb': 0.04972, 'Sn': 0.00973}",Co:0.9405 Nb:0.0497 Sn:0.0097,550,0.675,0.687605,-0.005,0.027973,2.127556,2277
claude_opus4.6,5,10,Co-Mn-Zr-O,"{""Co"": 0.942445513983409, ""Mn"": 0.04736440779355744, ""Zr"": 0.010190078223033465}",Co:0.9424 Mn:0.0474 Zr:0.0102,550,0.625,0.770922,0.02,0.447128,2.331447,2278
claude_opus4.6,7,10,Co-Mn-Ti-O,"{'Co': 0.83535, 'Mn': 0.06763, 'Ti': 0.09703}",Co:0.8354 Mn:0.0676 Ti:0.0970,550,0.68,0.732427,-0.005,0.076881,2.330575,2278
claude_opus4.6,9,10,Co-Mn-Ti-O,"{'Co': 0.83535, 'Mn': 0.06763, 'Ti': 0.09703}",Co:0.8354 Mn:0.0676 Ti:0.0970,550,0.64,0.732427,-0.005,0.076881,2.331447,2278
claude_opus4.6,4,10,Co-Nb-Zr-O,"{""Co"": 0.8741137104765964, ""Nb"": 0.0, ""Zr"": 0.1258862895234036}",Co:0.8741 Nb:0.0000 Zr:0.1259,550,0.63,0.632519,0.05,0.060041,2.33836,2278
claude_opus4.6,6,10,Co-Sb-Zr-O,"{""Co"": 0.9285245421799492, ""Sb"": 0.005562501918475885, ""Zr"": 0.06591295590157487}",Co:0.9285 Sb:0.0056 Zr:0.0659,550,0.635,0.649395,0.05,0.104446,2.331447,2278
claude_opus4.6,3,11,Co-Nb-Sn-O,"{'Co': 0.96352, 'Nb': 0.02778, 'Sn': 0.0087}",Co:0.9635 Nb:0.0278 Sn:0.0087,550,0.67,0.66479,0.015,0.147314,2.127633,2277
claude_opus4.6,8,10,Co-Nb-Sn-O,"{'Co': 0.98034, 'Nb': 0.01413, 'Sn': 0.00553}",Co:0.9803 Nb:0.0141 Sn:0.0055,550,0.645,0.665961,0.035,0.046361,2.333529,2278
claude_opus4.6,10,9,Co-Hf-Zr-O,"{""Co"": 0.8373369739746543, ""Hf"": 0.12618943132263527, ""Zr"": 0.0364735947027104}",Co:0.8373 Hf:0.1262 Zr:0.0365,550,0.635,0.638224,0.11,0.127863,2.331447,2279
claude_opus4.6,5,11,Co-Hf-Zr-O,"{""Co"": 0.8630450427418843, ""Hf"": 0.11649746686640937, ""Zr"": 0.02045749039170634}",Co:0.8630 Hf:0.1165 Zr:0.0205,550,0.635,0.639732,0.06,0.125597,2.331447,2277
claude_opus4.6,2,11,Co-Mn-Ti-O,"{'Co': 0.89163, 'Mn': 0.04283, 'Ti': 0.06554}",Co:0.8916 Mn:0.0428 Ti:0.0655,700,0.68,0.730612,-0.005,0.048455,2.330703,2277
claude_opus4.6,1,12,Co-Nb-Sn-O,"{'Co': 0.92741, 'Nb': 0.0477, 'Sn': 0.02489}",Co:0.9274 Nb:0.0477 Sn:0.0249,550,0.688,0.679212,-0.015,0.020729,2.127586,2276
claude_opus4.6,9,11,Co-Hf-Zr-O,"{""Co"": 0.8373369739746543, ""Hf"": 0.12618943132263527, ""Zr"": 0.0364735947027104}",Co:0.8373 Hf:0.1262 Zr:0.0365,550,0.635,0.638224,0.1,0.127863,2.331447,2277
claude_opus4.6,7,11,Co-Mn-Ti-O,"{'Co': 0.89163, 'Mn': 0.04283, 'Ti': 0.06554}",Co:0.8916 Mn:0.0428 Ti:0.0655,700,0.69,0.730612,-0.005,0.048455,2.330703,2277
claude_opus4.6,6,11,Co-Hf-Zr-O,"{""Co"": 0.8939200041454616, ""Hf"": 0.086284815946529, ""Zr"": 0.019795179908009435}",Co:0.8939 Hf:0.0863 Zr:0.0198,400,0.625,0.639651,0.08,0.128307,2.331447,2277
claude_opus4.6,4,11,Co-Nb-Zr-O,"{""Co"": 0.8571176429274906, ""Nb"": 0.0, ""Zr"": 0.14288235707250938}",Co:0.8571 Nb:0.0000 Zr:0.1429,550,0.628,0.621104,0.058,0.046837,2.369488,2277
claude_opus4.6,3,12,Co-Nb-Sn-O,"{'Co': 0.92741, 'Nb': 0.0477, 'Sn': 0.02489}",Co:0.9274 Nb:0.0477 Sn:0.0249,550,0.685,0.679212,-0.01,0.020729,2.127635,2276
claude_opus4.6,2,12,Co-Hf-Zr-O,"{""Co"": 0.8067524844660898, ""Hf"": 0.08562664993109169, ""Zr"": 0.10762086560281842}",Co:0.8068 Hf:0.0856 Zr:0.1076,400,0.635,0.666918,0.11,0.140154,2.330703,2276
claude_opus4.6,1,13,Co-Nb-Sn-O,"{'Co': 0.93479, 'Nb': 0.04883, 'Sn': 0.01638}",Co:0.9348 Nb:0.0488 Sn:0.0164,550,0.678,0.674872,0.005,0.033117,2.127586,2275
